N,D,generator,recon_chamfer,recon_iou,coverage,mmd,one_nn_acc,valid_ratio
10,16,gaussian,0.0011018686154378055,0.7733037911523283,0.45,0.0023474030840720224,0.8,1.0
10,16,ddpm,0.0011018686154378055,0.7733037911523283,0.375,0.0023295176359443,0.7625,1.0
10,32,gaussian,0.0010413641680622526,0.8012317185146174,0.5,0.002069361907695153,0.6875,1.0
10,32,ddpm,0.0010413641680622526,0.8012317185146174,0.275,0.0024996794810430356,0.8,1.0
50,16,gaussian,0.0014312242463452882,0.7745502207989307,0.6,0.002161929669078051,0.625,1.0
50,16,ddpm,0.0014312242463452882,0.7745502207989307,0.425,0.0022605020490232258,0.75,1.0
50,32,gaussian,0.0014869694373290572,0.6807928991213347,0.475,0.0021189303564050493,0.6625,1.0
50,32,ddpm,0.0014869694373290572,0.6807928991213347,0.425,0.0026156549422773068,0.875,1.0
150,16,gaussian,0.001121953814848008,0.8006466174575678,0.5,0.002187550511560873,0.6875,1.0
150,16,ddpm,0.001121953814848008,0.8006466174575678,0.45,0.0020927873522205336,0.6375,1.0
150,32,gaussian,0.0012151807679529729,0.7332805880440955,0.35,0.0021291234521468192,0.7875,1.0
150,32,ddpm,0.0012151807679529729,0.7332805880440955,0.375,0.002247420919461647,0.75,1.0
